Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
15264	  0.185	 -0.225	  0.449	  0.191	  0.097	 -9.755	 -0.023	 -0.002	  0.005	 32.300	 98.721	 -99999.000
15313	  0.182	 -0.222	  0.452	  0.184	  0.145	 -9.774	 -0.000	  0.002	  0.003	 32.300	 98.737	 -99999.000
15363	  0.182	 -0.228	  0.447	  0.167	  0.073	 -9.774	  0.015	  0.007	  0.004	 32.300	 98.721	 -99999.000
15413	  0.183	 -0.227	  0.448	  0.208	  0.005	 -9.784	  0.002	  0.011	  0.003	 32.300	 98.733	 -99999.000
15463	  0.183	 -0.228	  0.445	  0.222	  0.026	 -9.797	 -0.019	  0.002	  0.005	 32.300	 98.733	 -99999.000
15513	  0.183	 -0.225	  0.452	  0.223	  0.099	 -9.721	 -0.017	 -0.005	  0.004	 32.300	 98.733	 -99999.000
15563	  0.185	 -0.228	  0.451	  0.159	  0.098	 -9.760	  0.000	 -0.003	  0.003	 32.300	 98.744	 -99999.000
15613	  0.184	 -0.227	  0.448	  0.151	  0.051	 -9.763	  0.012	  0.007	  0.005	 32.300	 98.744	 -99999.000
15664	  0.184	 -0.227	  0.449	  0.215	  0.021	 -9.787	 -0.002	  0.011	  0.005	 32.300	 98.744	 -99999.000
15714	  0.186	 -0.225	  0.448	  0.246	  0.059	 -9.788	 -0.018	  0.002	  0.003	 32.300	 98.733	 -99999.000
15763	  0.184	 -0.227	  0.453	  0.218	  0.094	 -9.742	 -0.012	 -0.007	  0.002	 32.300	 98.733	 -99999.000
15814	  0.183	 -0.226	  0.447	  0.186	  0.094	 -9.759	  0.005	 -0.005	  0.003	 32.300	 98.737	 -99999.000
15864	  0.183	 -0.230	  0.453	  0.205	  0.037	 -9.755	  0.005	  0.007	  0.004	 32.300	 98.737	 -99999.000
15914	  0.183	 -0.230	  0.444	  0.213	  0.027	 -9.790	 -0.007	  0.012	  0.004	 32.300	 98.737	 -99999.000
15964	  0.184	 -0.230	  0.449	  0.248	  0.064	 -9.777	 -0.014	  0.006	  0.004	 32.300	 98.744	 -99999.000
16014	  0.184	 -0.227	  0.446	  0.238	  0.075	 -9.747	 -0.005	 -0.008	  0.004	 32.300	 98.733	 -99999.000
16064	  0.183	 -0.227	  0.451	  0.190	  0.052	 -9.774	  0.003	 -0.008	  0.004	 32.300	 98.733	 -99999.000
16114	  0.185	 -0.225	  0.449	  0.159	  0.058	 -9.779	  0.001	  0.008	  0.005	 32.300	 98.733	 -99999.000
16164	  0.183	 -0.224	  0.448	  0.213	  0.053	 -9.764	 -0.009	  0.015	  0.003	 32.300	 98.733	 -99999.000
16214	  0.184	 -0.219	  0.452	  0.239	  0.078	 -9.746	 -0.010	  0.005	  0.004	 32.300	 98.744	 -99999.000
16264	  0.183	 -0.226	  0.445	  0.234	  0.089	 -9.758	 -0.002	 -0.009	  0.005	 32.300	 98.737	 -99999.000
16314	  0.185	 -0.227	  0.450	  0.163	  0.056	 -9.782	  0.001	 -0.004	  0.005	 32.300	 98.733	 -99999.000
16364	  0.184	 -0.227	  0.447	  0.188	  0.020	 -9.763	 -0.005	  0.009	  0.003	 32.300	 98.737	 -99999.000
16414	  0.184	 -0.228	  0.451	  0.233	  0.071	 -9.749	 -0.011	  0.014	  0.004	 32.300	 98.737	 -99999.000
16464	  0.182	 -0.228	  0.452	  0.239	  0.081	 -9.760	 -0.004	  0.002	  0.003	 32.300	 98.737	 -99999.000
16514	  0.185	 -0.227	  0.451	  0.200	  0.064	 -9.780	  0.000	 -0.009	  0.003	 32.300	 98.725	 -99999.000
16564	  0.186	 -0.228	  0.449	  0.176	  0.050	 -9.770	 -0.004	 -0.005	  0.004	 32.300	 98.733	 -99999.000
16614	  0.185	 -0.226	  0.444	  0.167	  0.050	 -9.770	 -0.007	  0.011	  0.004	 32.300	 98.744	 -99999.000
16664	  0.184	 -0.227	  0.451	  0.241	  0.074	 -9.751	 -0.006	  0.014	  0.004	 32.300	 98.733	 -99999.000
16714	  0.183	 -0.223	  0.447	  0.230	  0.079	 -9.799	  0.001	 -0.000	  0.004	 32.300	 98.733	 -99999.000
