Time	 MagX	 MagY	 MagZ	 AccelX	 AccelY	 AccelZ	 Yaw	 Pitch	 Roll	 Temperature	 Pressure	 Altitude
15348	 -0.120	 -0.026	  0.330	  0.098	 -0.053	 -9.662	 -0.004	  0.003	  0.005	 25.900	 99.302	 -99999.000
15398	 -0.119	 -0.014	  0.327	  0.086	 -0.075	 -9.733	 -0.004	  0.003	  0.006	 25.900	 99.290	 -99999.000
15448	 -0.119	 -0.027	  0.329	  0.102	 -0.087	 -9.678	 -0.003	  0.002	  0.004	 25.900	 99.286	 -99999.000
15498	 -0.117	 -0.024	  0.328	  0.113	 -0.058	 -9.692	 -0.003	  0.004	  0.005	 25.900	 99.279	 -99999.000
15548	 -0.118	 -0.027	  0.328	  0.095	 -0.070	 -9.601	 -0.004	  0.003	  0.003	 25.900	 99.290	 -99999.000
15598	 -0.121	 -0.022	  0.332	  0.110	 -0.094	 -9.653	 -0.004	  0.001	  0.006	 25.900	 99.290	 -99999.000
15648	 -0.121	 -0.028	  0.333	  0.088	 -0.063	 -9.708	 -0.002	  0.005	  0.005	 25.900	 99.290	 -99999.000
15698	 -0.119	 -0.024	  0.332	  0.124	 -0.078	 -9.701	 -0.004	  0.004	  0.006	 25.900	 99.286	 -99999.000
15748	 -0.120	 -0.027	  0.333	  0.083	 -0.064	 -9.657	 -0.003	  0.002	  0.006	 25.900	 99.279	 -99999.000
15799	 -0.119	 -0.028	  0.335	  0.098	 -0.079	 -9.748	 -0.004	  0.002	  0.005	 25.900	 99.279	 -99999.000
15849	 -0.119	 -0.024	  0.332	  0.067	 -0.032	 -9.610	 -0.004	  0.005	  0.004	 25.900	 99.286	 -99999.000
15899	 -0.120	 -0.028	  0.329	  0.114	 -0.064	 -9.670	 -0.004	  0.002	  0.004	 25.900	 99.279	 -99999.000
15949	 -0.117	 -0.028	  0.328	  0.116	 -0.069	 -9.581	 -0.003	  0.001	  0.003	 25.900	 99.290	 -99999.000
15999	 -0.118	 -0.027	  0.336	  0.101	 -0.077	 -9.764	 -0.003	  0.003	  0.003	 25.900	 99.284	 -99999.000
16049	 -0.117	 -0.023	  0.326	  0.108	 -0.083	 -9.668	 -0.002	  0.004	  0.006	 25.900	 99.302	 -99999.000
16099	 -0.119	 -0.024	  0.331	  0.127	 -0.106	 -9.648	 -0.002	  0.005	  0.005	 25.900	 99.279	 -99999.000
16149	 -0.118	 -0.026	  0.326	  0.083	 -0.049	 -9.627	 -0.003	  0.003	  0.005	 25.900	 99.279	 -99999.000
16199	 -0.117	 -0.028	  0.330	  0.123	 -0.078	 -9.630	 -0.003	  0.001	  0.004	 25.900	 99.279	 -99999.000
16249	 -0.120	 -0.029	  0.328	  0.094	 -0.057	 -9.734	 -0.003	  0.004	  0.004	 25.900	 99.290	 -99999.000
16299	 -0.122	 -0.028	  0.332	  0.083	 -0.082	 -9.578	 -0.002	  0.003	  0.005	 25.900	 99.290	 -99999.000
16349	 -0.118	 -0.025	  0.332	  0.076	 -0.077	 -9.689	 -0.004	  0.003	  0.005	 25.900	 99.290	 -99999.000
16399	 -0.120	 -0.027	  0.327	  0.083	 -0.053	 -9.605	 -0.002	  0.003	  0.005	 25.900	 99.295	 -99999.000
16448	 -0.118	 -0.017	  0.330	  0.097	 -0.066	 -9.698	 -0.003	  0.002	  0.004	 25.900	 99.279	 -99999.000
16498	 -0.121	 -0.028	  0.330	  0.118	 -0.066	 -9.611	 -0.003	  0.003	  0.005	 25.900	 99.290	 -99999.000
16549	 -0.118	 -0.030	  0.331	  0.099	 -0.082	 -9.695	 -0.003	  0.003	  0.005	 25.900	 99.279	 -99999.000
16599	 -0.118	 -0.028	  0.327	  0.087	 -0.088	 -9.609	 -0.003	  0.004	  0.005	 25.900	 99.290	 -99999.000
16649	 -0.119	 -0.029	  0.327	  0.102	 -0.076	 -9.700	 -0.005	  0.003	  0.005	 25.900	 99.290	 -99999.000
16699	 -0.118	 -0.023	  0.331	  0.122	 -0.057	 -9.629	 -0.003	  0.003	  0.005	 25.900	 99.279	 -99999.000
16749	 -0.119	 -0.026	  0.333	  0.088	 -0.077	 -9.683	 -0.005	  0.003	  0.004	 25.900	 99.284	 -99999.000
16799	 -0.119	 -0.026	  0.328	  0.080	 -0.057	 -9.627	 -0.004	  0.002	  0.004	 25.900	 99.295	 -99999.000
16849	 -0.118	 -0.028	  0.329	  0.105	 -0.069	 -9.689	 -0.003	  0.002	  0.005	 25.900	 99.284	 -99999.000
16899	 -0.122	 -0.029	  0.330	  0.094	 -0.054	 -9.631	 -0.002	  0.003	  0.006	 25.900	 99.279	 -99999.000
16949	 -0.122	 -0.030	  0.331	  0.117	 -0.056	 -9.675	 -0.003	  0.002	  0.004	 25.900	 99.284	 -99999.000
